Current Body Type,Target Body Type,Workout Plan,Diet Plan,Estimated Duration (Days)
Ectomorph,Endomorph,"Minimal Activity, Light Strength","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",112
Mesomorph,Endomorph,Low Frequency Training 3x/week,"High Calorie Balanced Diet, Calorie Surplus",80
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,"Maintenance Calories, Balanced Profile (30P/40C/30F)",51
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Calorie Deficit, Carb Emphasis (55%)",80
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Calorie Deficit, Carb Emphasis (55%)",91
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Calorie Deficit, Carb Emphasis (55%)",64
Mesomorph,Endomorph,Low Frequency Training 3x/week,"High Calorie Balanced Diet, Calorie Surplus",113
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,33
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","High Protein (35%), Low Carb (25%), Fiber Focus",134
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,70
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"Lean Protein Focus, Reduced Carbs",146
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"Weight Gain Focus: High Fat (45%), Large Calorie Surplus",115
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Low Protein Diet, Increased Cardio Fuel",70
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (25P/45C/30F)",70
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Calorie Deficit (~500kcal), High Carb Fuel",85
Ectomorph,Endomorph,"Minimal Activity, Light Strength","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",115
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Large Surplus Diet (~700kcal), Fat Emphasis",83
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,"Maintenance Calories, Balanced Profile (30P/40C/30F)",38
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",137
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,38
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,90
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (25P/45C/30F)",61
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,Healthy Balanced Diet,41
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Healthy Balanced Diet,62
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","High Calorie Balanced Diet, Calorie Surplus",112
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Weight Gain Diet, Balanced Macros",108
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Weight Gain Diet, Balanced Macros",94
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","Low Protein Diet, Increased Cardio Fuel",81
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,55
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Calorie Surplus (~500kcal), High Fat (35%)",105
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x",Performance Maintenance Diet,55
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","High Calorie Balanced Diet, Calorie Surplus",78
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein, Low Carb",174
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,Balanced Macronutrient Diet,64
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Calorie Deficit (~500kcal), High Carb Fuel",96
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (25P/45C/30F)",82
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,30
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Low Protein Diet, Increased Cardio Fuel",91
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","High Calorie Balanced Diet, Calorie Surplus",96
Mesomorph,Endomorph,Low Frequency Training 3x/week,"High Calorie Balanced Diet, Calorie Surplus",77
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,"Maintenance Calories, Balanced Profile (30P/40C/30F)",48
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (25P/45C/30F)",56
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Calorie Surplus (~500kcal), High Fat (35%)",68
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"Large Surplus Diet (~700kcal), Fat Emphasis",106
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (30P/40C/30F)",37
Mesomorph,Ectomorph,Cardio Focus 5x/week,"High Carb, Low Protein, Calorie Deficit",71
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein (35%), Low Carb (25%), Fiber Focus",177
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Low Protein Diet, Increased Cardio Fuel",95
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein, Calorie Deficit",63
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","High Calorie Balanced Diet, Calorie Surplus",116
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,43
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (35P/35C/30F)",31
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,"Maintenance Calories, Balanced Profile (25P/45C/30F)",74
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,"High Protein, High Calorie Surplus",183
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"Weight Gain Focus: High Fat (45%), Large Calorie Surplus",130
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,48
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Carb-Focused Energy Diet, Protein 25%",119
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"Lean Protein Focus, Reduced Carbs",169
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Calorie Deficit, Carb Emphasis (55%)",87
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"Lean Protein Focus, Reduced Carbs",150
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Carb-Focused Energy Diet, Protein 25%",86
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Low Protein Diet, Increased Cardio Fuel",85
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,80
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Calorie Deficit (~500kcal), High Carb Fuel",79
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Performance Maintenance Diet,52
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Calorie Deficit (~500kcal), High Carb Fuel",66
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","High Carb, Moderate Protein, Calorie Deficit",118
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Large Surplus Diet (~700kcal), Fat Emphasis",128
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,88
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","High Carb, Low Protein, Calorie Deficit",91
Ectomorph,Endomorph,"Minimal Activity, Light Strength","Large Surplus Diet (~700kcal), Fat Emphasis",93
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (30P/40C/30F)",45
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Carb-Focused Energy Diet, Protein 25%",60
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (30P/40C/30F)",32
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Large Surplus Diet (~700kcal), Fat Emphasis",108
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,Healthy Balanced Diet,66
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,Healthy Balanced Diet,88
Mesomorph,Endomorph,Low Frequency Training 3x/week,"High Calorie Balanced Diet, Calorie Surplus",95
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Carb-Focused Energy Diet, Protein 25%",79
Mesomorph,Endomorph,Low Frequency Training 3x/week,"High Calorie Balanced Diet, Calorie Surplus",90
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Weight Gain Diet, Balanced Macros",120
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","High Carb, Moderate Protein, Calorie Deficit",60
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,63
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,87
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (30P/40C/30F)",46
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,Balanced Macronutrient Diet,71
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,Calorie Surplus (~500kcal) + High Protein Shakes,162
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Healthy Balanced Diet,69
Ectomorph,Mesomorph,"Muscle Gain Focus: Heavy Weights, Minimal Cardio","High Protein, High Calorie Surplus",126
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Calorie Surplus (~500kcal), High Fat (35%)",97
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x","Maintenance Calories, Balanced Profile (35P/35C/30F)",42
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","Low Protein Diet, Increased Cardio Fuel",83
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",90
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,"Maintenance Calories, Balanced Profile (30P/40C/30F)",71
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","High Carb, Low Protein, Calorie Deficit",85
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,41
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,31
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"Lean Protein Focus, Reduced Carbs",125
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x","Maintenance Calories, Balanced Profile (35P/35C/30F)",32
Ectomorph,Mesomorph,"Muscle Gain Focus: Heavy Weights, Minimal Cardio","High Protein, High Calorie Surplus",162
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","High Carb, Moderate Protein, Calorie Deficit",100
Mesomorph,Ectomorph,Cardio Focus 5x/week,"High Carb, Low Protein, Calorie Deficit",95
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"Large Surplus Diet (~700kcal), Fat Emphasis",86
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (35P/35C/30F)",54
Ectomorph,Mesomorph,"Muscle Gain Focus: Heavy Weights, Minimal Cardio","Muscle Gain Diet: High Protein (35%), High Carb (45%)",179
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x","Maintenance Calories, Balanced Profile (35P/35C/30F)",75
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",130
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","High Protein (35%), Low Carb (25%), Fiber Focus",135
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Calorie Deficit, Carb Emphasis (55%)",66
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (35P/35C/30F)",40
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,Calorie Surplus (~500kcal) + High Protein Shakes,130
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x",Performance Maintenance Diet,86
Ectomorph,Endomorph,"Minimal Activity, Light Strength","Large Surplus Diet (~700kcal), Fat Emphasis",147
Ectomorph,Endomorph,"Minimal Activity, Light Strength","Large Surplus Diet (~700kcal), Fat Emphasis",113
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,Calorie Surplus (~500kcal) + High Protein Shakes,170
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","Lean Protein Focus, Reduced Carbs",145
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","Lean Protein Focus, Reduced Carbs",146
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","Lean Protein Focus, Reduced Carbs",167
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,50
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",147
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein, Low Carb",175
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Weight Gain Diet, Balanced Macros",79
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein, Low Carb",180
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"High Calorie, High Fat Diet",120
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Weight Gain Diet, Balanced Macros",71
Ectomorph,Mesomorph,"Muscle Gain Focus: Heavy Weights, Minimal Cardio",Calorie Surplus (~500kcal) + High Protein Shakes,199
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein, Calorie Deficit",75
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Carb-Focused Energy Diet, Protein 25%",63
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein, Low Carb",154
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Calorie Surplus (~500kcal), High Fat (35%)",112
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,Healthy Balanced Diet,51
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","Weight Gain Diet, Balanced Macros",75
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,Calorie Surplus (~500kcal) + High Protein Shakes,142
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (35P/35C/30F)",66
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,76
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein (35%), Low Carb (25%), Fiber Focus",174
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x","Maintenance Calories, Balanced Profile (35P/35C/30F)",61
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,Healthy Balanced Diet,57
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","High Protein, Low Carb",164
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Calorie Deficit, Carb Emphasis (55%)",80
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Calorie Deficit (~500kcal), High Carb Fuel",109
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,Calorie Surplus (~500kcal) + High Protein Shakes,125
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","Low Protein Diet, Increased Cardio Fuel",88
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Calorie Surplus (~500kcal), High Fat (35%)",103
Ectomorph,Mesomorph,"Muscle Gain Focus: Heavy Weights, Minimal Cardio","High Protein, High Calorie Surplus",153
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Healthy Balanced Diet,32
Ectomorph,Mesomorph,"Muscle Gain Focus: Heavy Weights, Minimal Cardio","Muscle Gain Diet: High Protein (35%), High Carb (45%)",173
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,36
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"Lean Protein Focus, Reduced Carbs",180
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",129
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","High Carb, Low Protein, Calorie Deficit",88
Ectomorph,Endomorph,"Minimal Activity, Light Strength","High Calorie, High Fat Diet",96
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Low Protein Diet, Increased Cardio Fuel",70
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","Weight Gain Diet, Balanced Macros",84
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Carb-Focused Energy Diet, Protein 25%",84
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x","Maintenance Calories, Balanced Profile (35P/35C/30F)",39
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Calorie Deficit (~500kcal), High Carb Fuel",99
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","High Calorie Balanced Diet, Calorie Surplus",78
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","High Calorie Balanced Diet, Calorie Surplus",119
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Performance Maintenance Diet,39
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,61
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",120
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Carb-Focused Energy Diet, Protein 25%",120
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,"Maintenance Calories, Balanced Profile (25P/45C/30F)",37
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Calorie Surplus (~500kcal), High Fat (35%)",76
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,Calorie Surplus (~500kcal) + High Protein Shakes,149
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"Weight Gain Focus: High Fat (45%), Large Calorie Surplus",118
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Weight Gain Diet, Balanced Macros",72
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x",Balanced Macronutrient Diet,89
Mesomorph,Ectomorph,Cardio Focus 5x/week,"High Carb, Low Protein, Calorie Deficit",78
